,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
360,Estrela,0,BR,1567638231,87,-29.5,-51.96,46.0,3.04
361,Soe,62,EE,1567638231,93,57.91,26.05,52.0,2.24
362,Manggar,52,ID,1567638231,76,-2.88,108.27,78.84,5.66
363,Sovetskiy,0,RU,1567638231,86,56.76,48.47,47.52,3.56
364,Sorland,26,NO,1567638231,74,67.67,12.69,50.04,6.11
365,Hun,6,BE,1567638232,87,50.34,4.87,57.2,6.93
366,Mehamn,21,NO,1567638232,77,71.03,27.85,46.98,8.39
367,Verkhoshizhemye,0,RU,1567638232,92,58.01,49.1,46.26,1.95
368,Ejura,96,GH,1567638232,92,7.38,-1.37,73.26,3.2
369,Kruisfontein,100,ZA,1567638232,86,-34.0,24.73,54.0,4.97
370,Contamana,73,PE,1567638233,82,-7.35,-75.01,77.22,3.0
371,Mianyang,60,CN,1567638233,83,31.46,104.75,70.38,1.39
